threshold,TP,FP,TN,FN,precision,recall
0.0,181,138,0,0,0.567398119122257,1.0
0.05,45,4,134,136,0.9183673469387755,0.24861878453038674
0.1,35,0,138,146,1.0,0.19337016574585636
0.15000000000000002,35,0,138,146,1.0,0.19337016574585636
0.2,35,0,138,146,1.0,0.19337016574585636
0.25,35,0,138,146,1.0,0.19337016574585636
0.30000000000000004,35,0,138,146,1.0,0.19337016574585636
0.35000000000000003,35,0,138,146,1.0,0.19337016574585636
0.4,35,0,138,146,1.0,0.19337016574585636
0.45,35,0,138,146,1.0,0.19337016574585636
0.5,35,0,138,146,1.0,0.19337016574585636
0.55,35,0,138,146,1.0,0.19337016574585636
0.6000000000000001,35,0,138,146,1.0,0.19337016574585636
0.65,35,0,138,146,1.0,0.19337016574585636
0.7000000000000001,35,0,138,146,1.0,0.19337016574585636
0.75,35,0,138,146,1.0,0.19337016574585636
0.8,35,0,138,146,1.0,0.19337016574585636
0.8500000000000001,35,0,138,146,1.0,0.19337016574585636
0.9,35,0,138,146,1.0,0.19337016574585636
0.9500000000000001,35,0,138,146,1.0,0.19337016574585636
1.0,16,0,138,165,1.0,0.08839779005524862
